sample_idx,segment,I,Q
1276448,0,979,1003
1276449,0,971,990
1276450,0,958,998
1276451,0,964,1003
1276452,0,964,1017
1276453,0,975,1007
1276454,0,955,1012
1276455,0,971,994
1276456,0,979,1022
1276457,0,970,1017
1276458,0,967,1013
1276459,0,993,1033
1276460,0,972,1018
1276461,0,987,1008
1276462,0,961,1025
1276463,0,956,1023
1276464,0,976,1023
1276465,0,957,1016
1276466,0,972,1033
1276467,0,992,1049
1276468,0,975,1024
1276469,0,982,1041
1276470,0,985,1053
1276471,0,964,1037
1276472,0,967,1053
1276473,0,991,1039
1276474,0,981,1045
1276475,0,998,1045
1276476,0,1001,1051
1276477,0,988,1046
1276478,0,998,1039
1276479,0,997,1039
1276480,0,994,1051
1276481,0,994,1053
1276482,0,1001,1051
1276483,0,997,1059
1276484,0,1007,1057
1276485,0,1003,1066
1276486,0,1005,1052
1276487,0,992,1059
1276488,0,1009,1054
1276489,0,1019,1044
1276490,0,1017,1065
1276491,0,1019,1067
1276492,0,1009,1061
1276493,0,1014,1066
1276494,0,1035,1041
1276495,0,1021,1069
1276496,0,1001,1071
1276497,0,1017,1050
1276498,0,1028,1069
1276499,0,1047,1069
1276500,0,1025,1037
1276501,0,1024,1072
1276502,0,1025,1080
1276503,0,1028,1052
1276504,0,1016,1065
1276505,0,1052,1053
1276506,0,1027,1071
1276507,0,1041,1068
1276508,0,1044,1070
1276509,0,1032,1060
1276510,0,1065,1051
1276511,0,1052,1058
1276512,0,1057,1059
1276513,0,1050,1083
1276514,0,1043,1033
1276515,0,1047,1051
1276516,0,1028,1045
1276517,0,1071,1047
1276518,0,1043,1038
1276519,0,1067,1050
1276520,0,1070,1049
1276521,0,1068,1051
1276522,0,1066,1044
1276523,0,1079,1044
1276524,0,1063,1063
1276525,0,1085,1039
1276526,0,1076,1018
1276527,0,1076,1043
1276528,0,1080,1021
1276529,0,1067,1050
1276530,0,1076,1020
1276531,0,1096,1035
1276532,0,1108,1019
1276533,0,1105,1029
1276534,0,1097,1023
1276535,0,1096,1028
1276536,0,1083,1035
1276537,0,1100,1030
1276538,0,1084,1012
1276539,0,1078,1014
1276540,0,1103,1019
1276541,0,1103,1021
1276542,0,1088,999
1276543,0,1117,1023
1276544,0,1103,1007
1276545,0,1096,1007
1276546,0,1098,987
1276547,0,1084,994
1276548,0,1098,991
1276549,0,1101,989
1276550,0,1102,997
1276551,0,1106,999
1276552,0,1095,987
1276553,0,1097,991
1276554,0,1102,974
1276555,0,1096,965
1276556,0,1089,974
1276557,0,1084,983
1276558,0,1110,977
1276559,0,1093,977
1276560,0,1097,978
1276561,0,1094,990
1276562,0,1098,965
1276563,0,1072,989
1276564,0,1072,969
1276565,0,1099,971
1276566,0,1089,982
1276567,0,1085,957
1276568,0,1080,973
1276569,0,1103,973
1276570,0,1088,975
1276571,0,1074,959
1276572,0,1087,974
1276573,0,1080,960
1276574,0,1063,952
1276575,0,1079,949
1276576,0,1079,931
1276577,0,1092,959
1276578,0,1073,955
1276579,0,1067,961
1276580,0,1076,951
1276581,0,1081,948
1276582,0,1092,940
1276583,0,1066,949
1276584,0,1073,945
1276585,0,1071,951
1276586,0,1064,953
1276587,0,1071,936
1276588,0,1059,951
1276589,0,1067,962
1276590,0,1079,953
1276591,0,1044,955
1276592,0,1063,957
1276593,0,1060,948
1276594,0,1048,940
1276595,0,1048,946
1276596,0,1051,958
1276597,0,1057,948
1276598,0,1051,939
1276599,0,1054,948
1276600,0,1066,962
1276601,0,1034,967
1276602,0,1071,971
1276603,0,1032,957
1276604,0,1024,964
1276605,0,1027,980
1276606,0,1034,963
1276607,0,1051,968
1276608,0,1040,975
1276609,0,1051,939
1276610,0,1039,966
1276611,0,1047,973
1276612,0,1044,963
1276613,0,1029,954
1276614,0,1037,969
1276615,0,1044,975
1276616,0,1025,986
1276617,0,1022,974
1276618,0,1030,982
1276619,0,1018,985
1276620,0,1029,984
1276621,0,1012,976
1276622,0,1024,988
1276623,0,1023,986
1276624,0,1028,1000
1276625,0,1009,996
1276626,0,1025,996
1276627,0,1004,1017
1276628,0,1003,1026
1276629,0,1008,1067
1276630,0,1014,1089
1276631,0,1020,1167
1276632,0,1018,1210
1276633,0,1026,1279
1276634,0,1020,1309
1276635,0,1007,1319
1276636,0,1020,1328
1276637,0,998,1318
1276638,0,1020,1327
1276639,0,1008,1331
1276640,0,997,1320
1276641,0,1021,1307
1276642,0,1034,1285
1276643,0,1003,1283
1276644,0,1030,1284
1276645,0,1012,1268
1276646,0,1021,1271
1276647,0,1018,1258
1276648,0,1025,1232
1276649,0,1010,1221
1276650,0,1035,1231
1276651,0,1051,1215
1276652,0,1060,1217
1276653,0,1103,1207
1276654,0,1139,1184
1276655,0,1204,1188
1276656,0,1247,1197
1276657,0,1295,1188
1276658,0,1303,1179
1276659,0,1346,1154
1276660,0,1359,1183
1276661,0,1344,1143
1276662,0,1344,1159
1276663,0,1331,1127
1276664,0,1327,1151
1276665,0,1326,1120
1276666,0,1296,1147
1276667,0,1264,1146
1276668,0,1291,1122
1276669,0,1269,1129
1276670,0,1279,1113
1276671,0,1273,1124
1276672,0,1232,1119
1276673,0,1240,1113
1276674,0,1202,1089
1276675,0,1209,1117
1276676,0,1227,1075
1276677,0,1203,1095
1276678,0,1179,1118
1276679,0,1189,1107
1276680,0,1199,1076
1276681,0,1168,1072
1276682,0,1178,1080
1276683,0,1154,1083
1276684,0,1153,1091
1276685,0,1171,1071
1276686,0,1153,1069
1276687,0,1137,1071
1276688,0,1147,1083
1276689,0,1145,1079
1276690,0,1143,1070
1276691,0,1151,1067
1276692,0,1139,1060
1276693,0,1143,1057
1276694,0,1099,1048
1276695,0,1122,1059
1276696,0,1122,1033
1276697,0,1125,1063
1276698,0,1117,1047
1276699,0,1123,1038
1276700,0,1120,1041
1276701,0,1111,1024
1276702,0,1088,1047
1276703,0,1092,1046
1276704,0,1101,1016
1276705,0,1107,1025
1276706,0,1103,1034
1276707,0,1098,1021
1276708,0,1092,1031
1276709,0,1089,1011
1276710,0,1082,1029
1276711,0,1087,1023
1276712,0,1087,1023
1276713,0,1091,1024
1276714,0,1095,1027
1276715,0,1064,1012
1276716,0,1069,1023
1276717,0,1084,1038
1276718,0,1057,1017
1276719,0,1066,1013
1276720,0,1070,1027
1276721,0,1076,1023
1276722,0,1103,994
1276723,0,1056,1000
1276724,0,1066,1033
1276725,0,1069,1016
1276726,0,1065,1007
1276727,0,1075,1007
1276728,0,1055,1019
1276729,0,1060,1010
1276730,0,1063,1001
1276731,0,1058,1005
1276732,0,1048,1000
1276733,0,1051,1018
1276734,0,1039,999
1276735,0,1053,979
1276736,0,1055,999
1276737,0,1041,999
1276738,0,1039,980
1276739,0,1058,984
1276740,0,1049,1013
1276741,0,1046,998
1276742,0,1034,1011
1276743,0,1051,1007
1276744,0,1037,1000
1276745,0,1023,1011
1276746,0,1028,1002
1276747,0,1024,1002
1276748,0,1029,989
1276749,0,1018,990
1276750,0,1030,981
1276751,0,1019,984
1276752,0,1035,991
1276753,0,1032,982
1276754,0,1036,1001
1276755,0,1016,989
1276756,0,1034,991
1276757,0,1031,982
1276758,0,1025,988
1276759,0,1016,993
1276760,0,1031,997
1276761,0,1013,993
1276762,0,1022,1004
1276763,0,1009,1005
1276764,0,1025,990
1276765,0,1004,981
1276766,0,1019,994
1276767,0,1022,984
1276768,0,1010,998
1276769,0,1014,1003
1276770,0,1007,1009
1276771,0,1010,1009
1276772,0,1009,995
1276773,0,1011,985
1276774,0,1008,1005
1276775,0,1010,1006
1276776,0,1012,996
1276777,0,999,1003
1276778,0,999,993
1276779,0,986,1003
1276780,0,1001,990
1276781,0,984,1005
1276782,0,996,1009
1276783,0,1006,1005
1276784,0,1003,1009
1276785,0,1004,1016
1276786,0,1001,1006
1276787,0,1006,1001
1276788,0,992,1021
1276789,0,1012,1015
1276790,0,1023,997
1276791,0,1008,1010
1276792,0,1000,1008
1276793,0,1009,1015
1276794,0,1011,991
1276795,0,1005,994
1276796,0,991,1018
1276797,0,1014,988
1276798,0,1000,1005
1276799,0,980,1013
1276800,0,994,1006
1276801,0,1006,1010
1276802,0,1036,992
1276803,0,1007,1008
1276804,0,1019,999
1276805,0,985,995
1276806,0,1005,1007
1276807,0,993,1017
1276808,0,1009,1005
1276809,0,1010,991
1276810,0,1009,1004
1276811,0,1002,1016
1276812,0,1004,1023
1276813,0,999,1005
1276814,0,1006,1019
1276815,0,997,1003
1276816,0,1022,1005
1276817,0,1003,1008
1276818,0,995,1011
1276819,0,996,995
1276820,0,1011,1004
1276821,0,1007,1015
1276822,0,1009,1024
1276823,0,1019,998
1276824,0,1003,1003
1276825,0,1011,1017
1276826,0,996,1014
1276827,0,1021,1015
1276828,0,996,1006
1276829,0,992,1025
1276830,0,1007,1002
1276831,0,1021,1008
1276832,0,993,996
1276833,0,1002,1018
1276834,0,1014,1010
1276835,0,991,1007
1276836,0,1007,1007
1276837,0,1001,1011
1276838,0,997,1005
1276839,0,997,998
1276840,0,1000,1016
1276841,0,1003,1013
1276842,0,1004,1021
1276843,0,997,1019
1276844,0,1009,1001
1276845,0,1009,1016
1276846,0,1007,995
1276847,0,999,1007
1276848,0,1002,1014
1276849,0,1001,1014
1276850,0,983,1003
1276851,0,1011,1011
1276852,0,1005,1019
1276853,0,1008,1007
1276854,0,1003,1015
1276855,0,987,1017
1276856,0,999,1021
1276857,0,997,1027
1276858,0,993,1025
1276859,0,1007,1008
1276860,0,1013,1009
1276861,0,1007,1023
1276862,0,999,1010
1276863,0,994,1018
1276864,0,1007,1017
1276865,0,995,1015
1276866,0,1001,1001
1276867,0,1003,1001
1276868,0,997,1015
1276869,0,1000,1019
1276870,0,1010,1003
1276871,0,998,1009
1276872,0,993,1031
1276873,0,990,1024
1276874,0,999,1021
1276875,0,990,1022
1276876,0,996,1036
1276877,0,1001,1027
1276878,0,981,1008
1276879,0,999,1027
1276880,0,989,1028
1276881,0,998,1028
1276882,0,992,1021
1276883,0,993,1031
1276884,0,1005,1023
1276885,0,1004,1024
1276886,0,997,1029
1276887,0,1004,1033
1276888,0,1021,1030
1276889,0,984,1011
1276890,0,997,1020
1276891,0,1015,1011
1276892,0,1013,1039
1276893,0,1005,1049
1276894,0,1002,1038
1276895,0,1007,1041
1276896,0,996,1039
1276897,0,989,1039
1276898,0,1007,1047
1276899,0,990,1039
1276900,0,995,1028
1276901,0,1006,1029
1276902,0,991,1051
1276903,0,1000,1055
1276904,0,999,1057
1276905,0,997,1036
1276906,0,992,1038
1276907,0,1010,1055
1276908,0,1022,1042
1276909,0,1013,1041
1276910,0,998,1046
1276911,0,1017,1035
1276912,0,994,1043
1276913,0,1018,1031
1276914,0,1015,1064
1276915,0,1011,1060
1276916,0,1012,1059
1276917,0,1003,1047
1276918,0,1007,1062
1276919,0,1011,1049
1276920,0,1027,1048
1276921,0,1023,1059
1276922,0,1005,1044
1276923,0,1013,1063
1276924,0,1013,1059
1276925,0,996,1056
1276926,0,1057,1066
1276927,0,1029,1051
1276928,0,1026,1073
1276929,0,1018,1060
1276930,0,1034,1041
1276931,0,1041,1053
1276932,0,1040,1060
1276933,0,1038,1063
1276934,0,1042,1056
1276935,0,1043,1055
1276936,0,1018,1058
1276937,0,1034,1045
1276938,0,1062,1065
1276939,0,1059,1045
1276940,0,1025,1057
1276941,0,1046,1049
1276942,0,1047,1052
1276943,0,1053,1071
1276944,0,1048,1055
1276945,0,1063,1061
1276946,0,1050,1056
1276947,0,1048,1061
1276948,0,1045,1049
1276949,0,1053,1045
1276950,0,1046,1046
1276951,0,1047,1040
1276952,0,1044,1047
1276953,0,1052,1047
1276954,0,1064,1055
1276955,0,1043,1062
1276956,0,1067,1057
1276957,0,1065,1069
1276958,0,1058,1046
1276959,0,1067,1059
1276960,0,1065,1046
1276961,0,1063,1042
1276962,0,1085,1044
1276963,0,1059,1061
1276964,0,1076,1049
1276965,0,1083,1070
1276966,0,1077,1043
1276967,0,1065,1053
1276968,0,1082,1037
1276969,0,1074,1036
1276970,0,1073,1045
1276971,0,1085,1041
1276972,0,1081,1032
1276973,0,1077,1052
1276974,0,1103,1032
1276975,0,1087,1047
1276976,0,1081,1044
1276977,0,1091,1035
1276978,0,1089,1043
1276979,0,1083,1050
1276980,0,1060,1026
1276981,0,1080,1026
1276982,0,1072,1053
1276983,0,1087,1025
1276984,0,1087,1032
1276985,0,1110,1032
1276986,0,1096,1043
1276987,0,1102,1016
1276988,0,1111,1033
1276989,0,1111,1031
1276990,0,1094,1027
1276991,0,1105,1022
1276992,0,1092,1022
1276993,0,1072,1009
1276994,0,1072,1018
1276995,0,1073,1008
1276996,0,1088,1026
1276997,0,1080,999
1276998,0,1119,1008
