sample_idx,segment,I,Q
0,0,962,957
1,0,969,959
2,0,973,947
3,0,983,953
4,0,976,944
5,0,989,947
6,0,975,951
7,0,975,948
8,0,966,949
9,0,982,953
10,0,975,948
11,0,976,954
12,0,973,946
13,0,972,946
14,0,967,946
15,0,973,947
16,0,965,939
17,0,968,943
18,0,965,933
19,0,967,958
20,0,964,934
21,0,963,982
22,0,950,946
23,0,959,1051
24,0,964,944
25,0,973,1111
26,0,963,942
27,0,964,1189
28,0,972,948
29,0,981,1192
30,0,970,939
31,0,974,1231
32,0,963,942
33,0,967,1179
34,0,973,939
35,0,976,1126
36,0,975,938
37,0,983,1127
38,0,972,935
39,0,975,1093
40,0,977,943
41,0,989,1097
42,0,983,931
43,0,996,1078
44,0,980,937
45,0,989,1079
46,0,982,937
47,0,997,1061
48,0,987,937
49,0,995,1046
50,0,979,940
51,0,979,1057
52,0,985,949
53,0,991,1017
54,0,987,944
55,0,983,1000
56,0,993,954
57,0,1001,1011
58,0,986,951
59,0,1031,1016
60,0,986,943
61,0,1087,999
62,0,983,949
63,0,1155,975
64,0,985,946
65,0,1206,983
66,0,981,947
67,0,1263,982
68,0,980,948
69,0,1240,968
70,0,977,957
71,0,1224,983
72,0,974,951
73,0,1209,968
74,0,991,946
75,0,1187,973
76,0,994,956
77,0,1154,978
78,0,994,949
79,0,1149,969
80,0,976,957
81,0,1110,968
82,0,969,953
83,0,1076,964
84,0,976,955
85,0,1076,956
86,0,983,942
87,0,1079,954
88,0,979,953
89,0,1061,975
90,0,976,945
91,0,1047,964
92,0,981,940
93,0,1023,945
94,0,980,943
95,0,1043,935
96,0,982,930
97,0,1016,927
98,0,971,941
99,0,1019,933
100,0,979,934
101,0,1000,928
102,0,981,937
103,0,999,942
104,0,965,947
105,0,996,942
106,0,978,939
107,0,996,936
108,0,982,941
109,0,1001,932
110,0,959,935
111,0,981,941
112,0,974,942
113,0,979,935
114,0,991,937
115,0,1009,930
116,0,982,933
117,0,993,931
118,0,979,943
119,0,986,934
120,0,983,938
121,0,991,930
122,0,971,944
123,0,981,945
124,0,990,935
125,0,980,945
126,0,980,940
127,0,997,953
128,0,997,950
129,0,990,950
130,0,998,940
131,0,999,934
132,0,1003,938
133,0,998,942
134,0,992,946
135,0,981,942
136,0,987,947
137,0,975,943
138,0,981,940
139,0,985,942
140,0,992,944
141,0,987,943
142,0,984,950
143,0,977,946
144,0,985,943
145,0,976,943
146,0,992,944
147,0,985,939
148,0,991,941
149,0,983,948
150,0,969,955
151,0,971,955
152,0,989,948
153,0,967,944
154,0,971,950
155,0,974,947
156,0,988,945
157,0,976,944
158,0,989,957
159,0,974,944
160,0,975,942
161,0,967,947
162,0,970,945
163,0,966,946
164,0,976,954
165,0,963,951
166,0,973,950
167,0,970,950
168,0,987,946
169,0,975,938
170,0,995,949
171,0,966,948
172,0,964,937
173,0,963,938
174,0,973,939
175,0,971,943
176,0,969,943
177,0,967,944
178,0,957,948
179,0,960,940
180,0,977,944
181,0,959,947
182,0,967,938
183,0,956,941
184,0,965,943
185,0,981,946
186,0,968,946
187,0,967,946
188,0,971,936
189,0,975,936
190,0,975,937
191,0,969,939
192,0,980,932
193,0,966,941
194,0,969,936
195,0,965,945
196,0,969,942
197,0,969,940
198,0,993,941
199,0,965,941
200,0,978,945
201,0,973,936
202,0,982,946
203,0,980,942
204,0,983,949
205,0,993,929
206,0,991,933
207,0,978,939
208,0,977,950
209,0,978,939
210,0,986,947
211,0,994,941
212,0,987,959
213,0,984,945
214,0,989,951
215,0,989,947
216,0,995,936
217,0,980,942
218,0,980,941
219,0,971,949
220,0,991,956
221,0,978,942
222,0,996,944
223,0,981,954
224,0,1005,943
225,0,974,947
226,0,979,951
227,0,974,950
228,0,986,951
229,0,972,952
230,0,981,948
231,0,973,947
232,0,976,952
233,0,976,951
234,0,980,949
235,0,980,943
236,0,995,948
237,0,983,945
238,0,977,957
239,0,973,956
240,0,971,943
241,0,969,945
242,0,978,955
243,0,963,947
244,0,985,944
245,0,965,945
246,0,976,951
247,0,973,946
248,0,970,940
249,0,960,945
250,0,961,957
251,0,963,949
252,0,966,941
253,0,967,942
254,0,981,941
255,0,961,946
256,0,962,949
257,0,963,943
258,0,965,945
259,0,969,943
260,0,987,942
261,0,968,936
262,0,975,935
263,0,962,936
264,0,971,944
265,0,967,937
266,0,977,934
267,0,971,938
268,0,975,934
269,0,970,937
270,0,964,949
271,0,966,936
272,0,966,936
273,0,978,927
274,0,989,934
275,0,982,930
276,0,986,934
277,0,970,945
278,0,967,949
279,0,971,942
280,0,977,942
281,0,979,941
282,0,992,940
283,0,998,958
284,0,994,937
285,0,983,935
286,0,983,935
287,0,979,942
288,0,991,946
289,0,977,945
290,0,985,944
291,0,973,953
292,0,980,950
293,0,977,955
294,0,981,949
295,0,990,949
296,0,1000,945
297,0,989,950
298,0,991,941
299,0,975,943
300,0,977,949
301,0,974,945
302,0,990,950
303,0,980,939
304,0,981,945
305,0,972,948
306,0,976,946
307,0,981,945
308,0,987,946
309,0,975,946
310,0,983,947
311,0,976,941
312,0,995,940
313,0,974,943
314,0,985,944
315,0,975,943
316,0,979,941
317,0,977,943
318,0,992,942
319,0,981,933
320,0,994,942
321,0,973,952
322,0,983,939
323,0,983,947
324,0,977,940
325,0,983,945
326,0,989,941
327,0,973,943
328,0,980,941
329,0,968,939
330,0,983,941
331,0,972,939
332,0,977,949
333,0,978,943
334,0,979,978
335,0,964,944
336,0,964,1027
337,0,961,936
338,0,963,1073
339,0,964,937
340,0,967,1160
341,0,979,933
342,0,975,1187
343,0,977,931
344,0,978,1210
345,0,963,943
346,0,969,1172
347,0,965,938
348,0,971,1163
349,0,980,935
350,0,987,1123
351,0,983,919
352,0,995,1103
353,0,984,930
354,0,984,1072
355,0,985,928
356,0,983,1064
357,0,979,942
358,0,980,1044
359,0,974,938
360,0,983,1047
361,0,989,935
362,0,999,1041
363,0,991,938
364,0,1002,1013
365,0,985,930
366,0,986,1025
367,0,989,941
368,0,1001,1018
369,0,1007,936
370,0,1010,994
371,0,990,944
372,0,1027,1006
373,0,994,945
374,0,1067,976
375,0,989,943
376,0,1147,989
377,0,988,938
378,0,1208,983
379,0,984,945
380,0,1267,975
381,0,980,945
382,0,1263,975
383,0,980,938
384,0,1240,970
385,0,983,936
386,0,1195,953
387,0,992,936
388,0,1192,944
389,0,998,940
390,0,1150,943
391,0,987,943
392,0,1157,954
393,0,1001,933
394,0,1128,949
395,0,989,932
396,0,1094,946
397,0,989,933
398,0,1080,957
399,0,988,938
400,0,1074,946
401,0,1009,935
402,0,1091,937
403,0,995,937
404,0,1054,938
405,0,972,939
406,0,1022,941
407,0,977,941
408,0,1034,955
409,0,1029,966
410,0,1089,980
411,0,997,963
412,0,1016,945
413,0,981,951
414,0,1011,939
415,0,968,935
416,0,1013,946
417,0,975,937
418,0,1004,941
419,0,970,928
420,0,1004,938
421,0,970,930
422,0,995,935
423,0,975,928
424,0,1006,933
425,0,980,935
426,0,1007,934
427,0,977,931
428,0,987,920
429,0,990,923
430,0,1012,922
431,0,984,917
432,0,985,931
433,0,974,930
434,0,978,937
435,0,976,922
436,0,976,929
437,0,989,936
438,0,985,934
439,0,981,930
440,0,995,936
441,0,981,936
442,0,985,928
443,0,994,934
444,0,991,916
445,0,993,928
446,0,984,929
447,0,997,923
448,0,992,936
449,0,999,929
450,0,977,939
451,0,987,941
452,0,981,949
453,0,980,939
454,0,967,943
455,0,983,939
456,0,974,942
457,0,993,933
458,0,996,937
459,0,996,941
460,0,984,944
461,0,1001,942
462,0,976,943
463,0,971,942
464,0,972,939
465,0,982,942
466,0,976,943
467,0,988,948
468,0,977,940
469,0,1004,938
470,0,984,941
471,0,967,940
472,0,980,945
473,0,981,943
474,0,986,938
475,0,981,944
476,0,988,938
477,0,981,940
478,0,984,943
479,0,971,947
480,0,991,946
481,0,974,938
482,0,990,941
483,0,967,941
484,0,972,943
485,0,967,944
486,0,985,936
487,0,969,935
488,0,973,946
489,0,972,932
490,0,974,940
491,0,969,936
492,0,970,945
493,0,971,942
494,0,970,935
495,0,967,934
496,0,965,935
497,0,949,940
498,0,966,927
499,0,960,937
500,0,966,938
501,0,957,930
502,0,956,946
503,0,967,930
504,0,964,939
505,0,959,942
506,0,979,939
507,0,957,939
508,0,972,941
509,0,967,942
510,0,983,941
511,0,978,938
512,0,989,935
513,0,973,935
514,0,988,937
515,0,979,924
516,0,977,928
517,0,979,934
518,0,989,940
519,0,972,935
520,0,987,932
521,0,976,941
522,0,973,948
523,0,982,951
524,0,991,938
525,0,984,940
526,0,994,937
527,0,991,932
528,0,992,936
529,0,984,938
530,0,984,959
531,0,973,941
532,0,980,945
533,0,975,941
534,0,978,940
535,0,981,942
536,0,988,940
537,0,979,946
538,0,981,950
539,0,976,954
540,0,983,952
541,0,974,960
542,0,977,947
543,0,983,947
544,0,985,944
545,0,975,955
546,0,980,954
547,0,978,944
548,0,991,946
549,0,987,946
550,0,992,942
551,0,982,956
552,0,985,946
553,0,985,946
554,0,981,943
555,0,975,943
556,0,985,943
557,0,973,948
558,0,962,953
559,0,967,950
560,0,981,949
561,0,971,950
562,0,978,945
563,0,979,939
564,0,979,948
565,0,968,940
566,0,961,946
567,0,969,944
568,0,979,944
569,0,971,939
570,0,973,943
571,0,973,951
572,0,970,939
573,0,949,933
574,0,963,932
575,0,956,931
576,0,965,940
577,0,965,944
578,0,989,936
579,0,963,942
580,0,967,943
581,0,962,937
582,0,970,945
583,0,968,945
584,0,966,937
585,0,980,931
586,0,985,935
587,0,968,933
588,0,975,936
589,0,969,934
590,0,968,948
591,0,967,939
592,0,970,941
593,0,981,940
594,0,990,937
595,0,975,932
596,0,981,941
597,0,969,939
598,0,976,937
599,0,974,938
600,0,987,945
601,0,985,937
602,0,997,936
603,0,990,935
604,0,993,934
605,0,985,940
606,0,987,942
607,0,984,934
608,0,991,939
609,0,987,942
610,0,986,945
611,0,980,938
612,0,988,943
613,0,984,936
614,0,991,950
615,0,986,944
616,0,996,943
617,0,966,945
618,0,983,956
619,0,976,955
620,0,983,955
621,0,978,955
622,0,989,948
623,0,973,949
624,0,971,947
625,0,979,955
626,0,975,948
627,0,975,962
628,0,984,944
629,0,974,943
630,0,982,948
631,0,987,947
632,0,985,960
633,0,977,949
634,0,983,964
635,0,973,951
636,0,976,977
637,0,981,946
638,0,982,1039
639,0,983,946
640,0,995,1099
641,0,986,938
642,0,978,1167
643,0,978,945
644,0,967,1237
645,0,978,941
646,0,992,1221
647,0,965,939
648,0,977,1191
649,0,961,947
650,0,969,1172
651,0,974,942
652,0,975,1120
653,0,979,936
654,0,988,1092
655,0,968,939
656,0,968,1097
657,0,957,935
658,0,961,1080
659,0,960,940
660,0,967,1056
661,0,1011,959
662,0,1018,1068
663,0,991,957
664,0,976,1051
665,0,964,942
666,0,965,1043
667,0,966,940
668,0,970,1027
669,0,966,937
670,0,969,992
671,0,964,942
672,0,984,1005
673,0,968,939
674,0,1015,984
675,0,972,936
676,0,1071,996
677,0,978,935
678,0,1144,985
679,0,973,941
680,0,1189,968
681,0,978,940
682,0,1255,987
683,0,972,948
684,0,1240,984
685,0,975,947
686,0,1219,975
687,0,982,938
688,0,1199,987
689,0,975,942
690,0,1152,969
691,0,976,953
692,0,1151,963
693,0,968,947
694,0,1135,968
695,0,979,934
696,0,1125,967
697,0,975,951
698,0,1096,962
699,0,977,941
700,0,1103,946
701,0,983,947
702,0,1064,965
703,0,978,961
704,0,1056,966
705,0,971,944
706,0,1043,959
707,0,981,944
708,0,1024,965
709,0,976,948
710,0,1026,957
711,0,976,950
712,0,1035,950
713,0,988,943
714,0,1012,951
715,0,967,948
716,0,1010,951
717,0,974,945
718,0,1004,942
719,0,967,962
720,0,1006,952
721,0,977,941
722,0,1007,943
723,0,971,948
724,0,1005,945
725,0,965,943
